FIPSCode,StateSearched,"County, State",Total TAT-ReportLevel(Days)
16021,id,"boundary, id",265.106
20011,ks,"bourbon, ks",308.043
21017,ky,"bourbon, ky","1,505.56"
48037,tx,"bowie, tx","6,484.00"
38011,nd,"bowman, nd",209.214
31013,ne,"box butte, ne",241.882
49003,ut,"box elder, ut","1,756.39"
21019,ky,"boyd, ky","3,418.48"
31015,ne,"boyd, ne",26.145
21021,ky,"boyle, ky","1,539.03"
21023,ky,"bracken, ky",653.246
12007,fl,"bradford, fl","1,024.70"
42015,pa,"bradford, pa","1,566.12"
5011,ar,"bradley, ar",90.532
47011,tn,"bradley, tn","9,381.69"
26023,mi,"branch, mi","2,203.26"
13025,ga,"brantley, ga",428.679
54007,wv,"braxton, wv",714.838
48039,tx,"brazoria, tx","15,909.36"
48041,tx,"brazos, tx","14,297.67"
21025,ky,"breathitt, ky",567.426
21027,ky,"breckinridge, ky","1,479.27"
19017,ia,"bremer, ia","1,249.90"
12009,fl,"brevard, fl","18,782.80"
48043,tx,"brewster, tx",655.577
48045,tx,"briscoe, tx",40.573
2060,ak,"bristol bay, ak",121.586
25005,ma,"bristol, ma","21,615.14"
44001,ri,"bristol, ri","1,790.10"
51520,va,"bristol, va","3,663.61"
30007,mt,"broadwater, mt",168.546
36005,ny,"bronx, ny",539.424
54009,wv,"brooke, wv","1,191.20"
46011,sd,"brookings, sd",235.166
13027,ga,"brooks, ga",500.984
48047,tx,"brooks, tx",184.555
36007,ny,"broome, ny","2,653.23"
8014,co,"broomfield, co",919.548
12011,fl,"broward, fl","51,855.19"
17009,il,"brown, il",205.265
18013,in,"brown, in","1,489.21"
20013,ks,"brown, ks",137.208
27015,mn,"brown, mn",563.053
31017,ne,"brown, ne",23.35
39015,oh,"brown, oh","3,346.40"
46013,sd,"brown, sd",141.607
48049,tx,"brown, tx","1,800.14"
55009,wi,"brown, wi","6,652.04"
46015,sd,"brule, sd",2.915
37019,nc,"brunswick, nc","1,355.64"
51025,va,"brunswick, va",696.638
13029,ga,"bryan, ga","2,524.92"
40013,ok,"bryan, ok","2,028.15"
19019,ia,"buchanan, ia","1,347.04"
29021,mo,"buchanan, mo",971.837
51027,va,"buchanan, va",574.033
51029,va,"buckingham, va",623.539
42017,pa,"bucks, pa","28,081.15"
51530,va,"buena vista city, va",651.75
19021,ia,"buena vista, ia",663.833
31019,ne,"buffalo, ne","2,867.54"
55011,wi,"buffalo, wi",392.56
21029,ky,"bullitt, ky","4,199.47"
13031,ga,"bulloch, ga","4,379.72"
1011,al,"bullock, al",13.161
37021,nc,"buncombe, nc","3,616.92"
17011,il,"bureau, il",774.978
13033,ga,"burke, ga","2,533.52"
37023,nc,"burke, nc",863.154
38013,nd,"burke, nd",424.532
38015,nd,"burleigh, nd","2,627.69"
48051,tx,"burleson, tx","1,025.06"
34005,nj,"burlington, nj","8,401.14"
48053,tx,"burnet, tx","4,271.65"
55013,wi,"burnett, wi",390.378
31021,ne,"burt, ne",172.928
1013,al,"butler, al",65.315
